#wavelength(nm)	a(/cm)	absorption depth (m)	n	k	Reflection
250	1.84E+06	5.43E-07	1.694	3.666	0.672612594
260	1.97E+06	5.08E-07	1.8	4.072	0.705174
270	2.18E+06	4.59E-07	2.129	4.69	0.732089553
280	2.36E+06	4.24E-07	3.052	5.258	0.722956411
290	2.24E+06	4.46E-07	4.426	5.16	0.684235361
300	1.73E+06	5.78E-07	5.055	4.128	0.623487589
310	1.44E+06	6.94E-07	5.074	3.559	0.590475835
320	1.28E+06	7.81E-07	5.102	3.269	0.574130338
330	1.17E+06	8.55E-07	5.179	3.085	0.565677412
340	1.09E+06	9.17E-07	5.293	2.951	0.561749318
350	1.04E+06	9.62E-07	5.483	2.904	0.565380276
360	1.02E+06	9.80E-07	6.014	2.912	0.582911002
370	6.97E+05	1.43E-06	6.863	2.051	0.584270801
380	2.93E+05	3.41E-06	6.548	0.885	0.546502292
390	1.50E+05	6.67E-06	5.976	0.465	0.510973644
400	9.52E+04	1.05E-05	5.587	0.303	0.486021028
410	6.74E+04	1.48E-05	5.305	0.22	0.46685326
420	5.00E+04	2.00E-05	5.091	0.167	0.451521581
430	3.92E+04	2.55E-05	4.925	0.134	0.439123249
440	3.11E+04	3.22E-05	4.793	0.109	0.428907265
450	2.55E+04	3.92E-05	4.676	0.091	0.4195857
460	2.10E+04	4.76E-05	4.577	0.077	0.41148595
470	1.72E+04	5.81E-05	4.491	0.064	0.404281394
480	1.48E+04	6.76E-05	4.416	0.057	0.397879181
490	1.27E+04	7.87E-05	4.348	0.05	0.391964733
500	1.11E+04	9.01E-05	4.293	0.045	0.387105531
510	9.70E+03	1.03E-04	4.239	0.039	0.382264522
520	8.80E+03	1.14E-04	4.192	0.036	0.377999092
530	7.85E+03	1.27E-04	4.15	0.033	0.374142014
540	7.05E+03	1.42E-04	4.11	0.03	0.370428522
550	6.39E+03	1.56E-04	4.077	0.028	0.367335936
560	5.78E+03	1.73E-04	4.044	0.026	0.364216221
570	5.32E+03	1.88E-04	4.015	0.024	0.361451749
580	4.88E+03	2.05E-04	3.986	0.023	0.358667135
590	4.49E+03	2.23E-04	3.962	0.021	0.356344975
600	4.14E+03	2.42E-04	3.939	0.02	0.354106672
610	3.81E+03	2.62E-04	3.916	0.018	0.351853614
620	3.52E+03	2.84E-04	3.895	0.017	0.349785241
630	3.27E+03	3.06E-04	3.879	0.016	0.348201339
640	3.04E+03	3.29E-04	3.861	0.015	0.34641148
650	2.81E+03	3.56E-04	3.844	0.015	0.344713928
660	2.58E+03	3.88E-04	3.83	0.014	0.343309316
670	2.38E+03	4.20E-04	3.815	0.013	0.341798625
680	2.21E+03	4.52E-04	3.8	0.012	0.340281901
690	2.05E+03	4.88E-04	3.787	0.011	0.338962422
700	1.90E+03	5.26E-04	3.774	0.011	0.337639002
710	1.77E+03	5.65E-04	3.762	0.011	0.336413285
720	1.66E+03	6.02E-04	3.751	0.01	0.335285625
730	1.54E+03	6.49E-04	3.741	0.009	0.33425759
740	1.42E+03	7.04E-04	3.732	0.008	0.333329999
750	1.30E+03	7.69E-04	3.723	0.008	0.332400673
760	1.19E+03	8.40E-04	3.714	0.007	0.331468652
770	1.10E+03	9.09E-04	3.705	0.007	0.33053483
780	1.01E+03	9.90E-04	3.696	0.006	0.329598359
790	9.28E+02	1.08E-03	3.688	0.006	0.328764393
800	8.50E+02	1.18E-03	3.681	0.005	0.328032868
810	7.75E+02	1.29E-03	3.674	0.005	0.327300306
820	7.07E+02	1.41E-03	3.668	0.005	0.326671301
830	6.47E+02	1.55E-03	3.662	0.004	0.326041006
840	5.91E+02	1.69E-03	3.656	0.004	0.325409976
850	5.35E+02	1.87E-03	3.65	0.004	0.324777931
860	4.80E+02	2.08E-03	3.644	0.003	0.32414465
870	4.32E+02	2.31E-03	3.638	0.003	0.323510569
880	3.83E+02	2.61E-03	3.632	0.003	0.322875469
890	3.43E+02	2.92E-03	3.626	0.002	0.32223919
900	3.06E+02	3.27E-03	3.62	0.002	0.321602046
910	2.72E+02	3.68E-03	3.614	0.002	0.320963878
920	2.40E+02	4.17E-03	3.608	0.002	0.320324684
930	2.10E+02	4.76E-03	3.602	0.002	0.319684464
940	1.83E+02	5.46E-03	3.597	0.001	0.319150064
950	1.57E+02	6.37E-03	3.592	0.001	0.318615045
960	1.34E+02	7.46E-03	3.587	0.001	0.318079311
970	1.14E+02	8.77E-03	3.582	0.001	0.317542859
980	9.59E+01	1.04E-02	3.578	0.001	0.317113181
990	7.92E+01	1.26E-02	3.574	0.001	0.316683043
1000	6.40E+01	1.56E-02	3.57	0.001	0.316252445
